1880년도 여아:90992명, 남아:110490명, 총합201482명
1881년도 여아:91953명, 남아:100743명, 총합192696명
1882년도 여아:107848명, 남아:113686명, 총합221534명
1883년도 여아:112318명, 남아:104627명, 총합216945명
1884년도 여아:129020명, 남아:114443명, 총합243463명
1885년도 여아:133055명, 남아:107799명, 총합240854명
1886년도 여아:144534명, 남아:110785명, 총합255319명
1887년도 여아:145981명, 남아:101415명, 총합247396명
1888년도 여아:178624명, 남아:120850명, 총합299474명
1889년도 여아:178366명, 남아:110582명, 총합288948명
1890년도 여아:190376명, 남아:111025명, 총합301401명
1891년도 여아:185482명, 남아:101193명, 총합286675명
1892년도 여아:212341명, 남아:122036명, 총합334377명
1893년도 여아:212905명, 남아:112317명, 총합325222명
1894년도 여아:222922명, 남아:115770명, 총합338692명
1895년도 여아:233628명, 남아:117396명, 총합351024명
1896년도 여아:237918명, 남아:119568명, 총합357486명
1897년도 여아:234200명, 남아:112758명, 총합346958명
1898년도 여아:258770명, 남아:122691명, 총합381461명
1899년도 여아:233023명, 남아:106212명, 총합339235명
1900년도 여아:299822명, 남아:150490명, 총합450312명
1901년도 여아:239347명, 남아:106469명, 총합345816명
1902년도 여아:264075명, 남아:122659명, 총합386734명
1903년도 여아:261972명, 남아:119233명, 총합381205명
1904년도 여아:275371명, 남아:128125명, 총합403496명
1905년도 여아:291623명, 남아:132318명, 총합423941명
1906년도 여아:295304명, 남아:133157명, 총합428461명
1907년도 여아:318565명, 남아:146830명, 총합465395명
1908년도 여아:334315명, 남아:154343명, 총합488658명
1909년도 여아:347232명, 남아:163999명, 총합511231명
1910년도 여아:396503명, 남아:194216명, 총합590719명
1911년도 여아:418304명, 남아:225967명, 총합644271명
1912년도 여아:558113명, 남아:429946명, 총합988059명
1913년도 여아:624536명, 남아:512558명, 총합1137094명
1914년도 여아:761561명, 남아:654764명, 총합1416325명
1915년도 여아:983876명, 남아:848603명, 총합1832479명
1916년도 여아:1044328명, 남아:890095명, 총합1934423명
1917년도 여아:1081290명, 남아:925508명, 총합2006798명
1918년도 여아:1157651명, 남아:1013522명, 총합2171173명
1919년도 여아:1130134명, 남아:980137명, 총합2110271명
1920년도 여아:1198287명, 남아:1064445명, 총합2262732명
1921년도 여아:1233019명, 남아:1101447명, 총합2334466명
1922년도 여아:1200951명, 남아:1088286명, 총합2289237명
1923년도 여아:1206326명, 남아:1096187명, 총합2302513명
1924년도 여아:1248902명, 남아:1132749명, 총합2381651명
1925년도 여아:1217365명, 남아:1115952명, 총합2333317명
1926년도 여아:1185350명, 남아:1110516명, 총합2295866명
1927년도 여아:1192350명, 남아:1126817명, 총합2319167명
1928년도 여아:1153140명, 남아:1107542명, 총합2260682명
1929년도 여아:1116472명, 남아:1075396명, 총합2191868명
1930년도 여아:1125817명, 남아:1097224명, 총합2223041명
1931년도 여아:1064552명, 남아:1039243명, 총합2103795명
1932년도 여아:1067019명, 남아:1043884명, 총합2110903명
1933년도 여아:1007748명, 남아:991205명, 총합1998953명
1934년도 여아:1044064명, 남아:1032326명, 총합2076390명
1935년도 여아:1048464명, 남아:1040987명, 총합2089451명
1936년도 여아:1040243명, 남아:1037009명, 총합2077252명
1937년도 여아:1063879명, 남아:1066379명, 총합2130258명
1938년도 여아:1103312명, 남아:1108880명, 총합2212192명
1939년도 여아:1096549명, 남아:1106617명, 총합2203166명
1940년도 여아:1143357명, 남아:1158943명, 총합2302300명
1941년도 여아:1207942명, 남아:1228011명, 총합2435953명
1942년도 여아:1350571명, 남아:1380812명, 총합2731383명
1943년도 여아:1395115명, 남아:1426908명, 총합2822023명
1944년도 여아:1327128명, 남아:1362607명, 총합2689735명
1945년도 여아:1307016명, 남아:1345660명, 총합2652676명
1946년도 여아:1571209명, 남아:1623728명, 총합3194937명
1947년도 여아:1772650명, 남아:1829293명, 총합3601943명
1948년도 여아:1697809명, 남아:1754438명, 총합3452247명
1949년도 여아:1710832명, 남아:1773754명, 총합3484586명
1950년도 여아:1713450명, 남아:1791474명, 총합3504924명
1951년도 여아:1800289명, 남아:1881716명, 총합3682005명
1952년도 여아:1854464명, 남아:1943744명, 총합3798208명
1953년도 여아:1880908명, 남아:1971136명, 총합3852044명
1954년도 여아:1941632명, 남아:2037515명, 총합3979147명
1955년도 여아:1954722명, 남아:2058035명, 총합4012757명
1956년도 여아:2007513명, 남아:2113761명, 총합4121274명
1957년도 여아:2044225명, 남아:2155921명, 총합4200146명
1958년도 여아:2010941명, 남아:2120843명, 총합4131784명
1959년도 여아:2023078명, 남아:2133539명, 총합4156617명
1960년도 여아:2022121명, 남아:2132756명, 총합4154877명
1961년도 여아:2017432명, 남아:2122608명, 총합4140040명
1962년도 여아:1966612명, 남아:2068953명, 총합4035565명
1963년도 여아:1927239명, 남아:2031746명, 총합3958985명
1964년도 여아:1894676명, 남아:1993353명, 총합3888029명
1965년도 여아:1765063명, 남아:1861377명, 총합3626440명
1966년도 여아:1691925명, 남아:1783992명, 총합3475917명
1967년도 여아:1650839명, 남아:1744507명, 총합3395346명
1968년도 여아:1640167명, 남아:1738999명, 총합3379166명
1969년도 여아:1687000명, 남아:1789709명, 총합3476709명
1970년도 여아:1748250명, 남아:1859647명, 총합3607897명
1971년도 여아:1663570명, 남아:1769292명, 총합3432862명
1972년도 여아:1521234명, 남아:1622736명, 총합3143970명
1973년도 여아:1458155명, 남아:1559416명, 총합3017571명
1974년도 여아:1467451명, 남아:1573195명, 총합3040646명
1975년도 여아:1457750명, 남아:1562298명, 총합3020048명
1976년도 여아:1465169명, 남아:1569980명, 총합3035149명
1977년도 여아:1533070명, 남아:1643802명, 총합3176872명
1978년도 여아:1531758명, 남아:1642388명, 총합3174146명
1979년도 여아:1605130명, 남아:1722104명, 총합3327234명
1980년도 여아:1660042명, 남아:1784088명, 총합3444130명
1981년도 여아:1667611명, 남아:1791101명, 총합3458712명
1982년도 여아:1692818명, 남아:1814211명, 총합3507029명
1983년도 여아:1670167명, 남아:1791964명, 총합3462131명
1984년도 여아:1683111명, 남아:1803995명, 총합3487106명
1985년도 여아:1720164명, 남아:1847231명, 총합3567395명
1986년도 여아:1714784명, 남아:1840347명, 총합3555131명
1987년도 여아:1737981명, 남아:1865804명, 총합3603785명
1988년도 여아:1779975명, 남아:1912764명, 총합3692739명
1989년도 여아:1843175명, 남아:2000082명, 총합3843257명
1990년도 여아:1897807명, 남아:2052662명, 총합3950469명
1991년도 여아:1874489명, 남아:2019523명, 총합3894012명
1992년도 여아:1843383명, 남아:1996492명, 총합3839875명
1993년도 여아:1808508명, 남아:1960486명, 총합3768994명
1994년도 여아:1785184명, 남아:1931313명, 총합3716497명
1995년도 여아:1758010명, 남아:1902971명, 총합3660981명
1996년도 여아:1752364명, 남아:1893548명, 총합3645912명
1997년도 여아:1739963명, 남아:1884324명, 총합3624287명
1998년도 여아:1766075명, 남아:1910424명, 총합3676499명
1999년도 여아:1772788명, 남아:1918984명, 총합3691772명
2000년도 여아:1814738명, 남아:1962556명, 총합3777294명
2001년도 여아:1799199명, 남아:1941401명, 총합3740600명
2002년도 여아:1795367명, 남아:1939950명, 총합3735317명
2003년도 여아:1825509명, 남아:1973612명, 총합3799121명
2004년도 여아:1834379명, 남아:1983010명, 총합3817389명
2005년도 여아:1845640명, 남아:1995115명, 총합3840755명
2006년도 여아:1898776명, 남아:2052652명, 총합3951428명
2007년도 여아:1919775명, 남아:2072505명, 총합3992280명
2008년도 여아:1887660명, 남아:2036750명, 총합3924410명
2009년도 여아:1833461명, 남아:1979895명, 총합3813356명
2010년도 여아:1773440명, 남아:1914629명, 총합3688069명
2011년도 여아:1754424명, 남아:1894262명, 총합3648686명
2012년도 여아:1755254명, 남아:1890889명, 총합3646143명
2013년도 여아:1747544명, 남아:1883945명, 총합3631489명
2014년도 여아:1777242명, 남아:1910876명, 총합3688118명
2015년도 여아:1769325명, 남아:1898858명, 총합3668183명
