1880,90992
1881,91953
1882,107848
1883,112318
1884,129020
1885,133055
1886,144534
1887,145981
1888,178624
1889,178366
1890,190376
1891,185482
1892,212341
1893,212905
1894,222922
1895,233628
1896,237918
1897,234200
1898,258770
1899,233023
1900,299822
1901,239347
1902,264075
1903,261972
1904,275371
1905,291623
1906,295304
1907,318565
1908,334315
1909,347232
1910,396503
1911,418304
1912,558113
1913,624536
1914,761561
1915,983876
1916,1044328
1917,1081290
1918,1157651
1919,1130134
1920,1198287
1921,1233019
1922,1200951
1923,1206326
1924,1248902
1925,1217365
1926,1185350
1927,1192350
1928,1153140
1929,1116472
1930,1125817
1931,1064552
1932,1067019
1933,1007748
1934,1044064
1935,1048464
1936,1040243
1937,1063879
1938,1103312
1939,1096549
1940,1143357
1941,1207942
1942,1350571
1943,1395115
1944,1327128
1945,1307016
1946,1571209
1947,1772650
1948,1697809
1949,1710832
1950,1713450
1951,1800289
1952,1854464
1953,1880908
1954,1941632
1955,1954722
1956,2007513
1957,2044225
1958,2010941
1959,2023078
1960,2022121
1961,2017432
1962,1966612
1963,1927239
1964,1894676
1965,1765063
1966,1691925
1967,1650839
1968,1640167
1969,1687000
1970,1748250
1971,1663570
1972,1521234
1973,1458155
1974,1467451
1975,1457750
1976,1465169
1977,1533070
1978,1531758
1979,1605130
1980,1660042
1981,1667611
1982,1692818
1983,1670167
1984,1683111
1985,1720164
1986,1714784
1987,1737981
1988,1779975
1989,1843175
1990,1897807
1991,1874489
1992,1843383
1993,1808508
1994,1785184
1995,1758010
1996,1752364
1997,1739963
1998,1766075
1999,1772788
2000,1814738
2001,1799199
2002,1795367
2003,1825509
2004,1834379
2005,1845640
2006,1898776
2007,1919775
2008,1887660
2009,1833461
2010,1773440
2011,1754424
2012,1755254
2013,1747544
2014,1777242
2015,1769325
