1880,110490
1881,100743
1882,113686
1883,104627
1884,114443
1885,107799
1886,110785
1887,101415
1888,120850
1889,110582
1890,111025
1891,101193
1892,122036
1893,112317
1894,115770
1895,117396
1896,119568
1897,112758
1898,122691
1899,106212
1900,150490
1901,106469
1902,122659
1903,119233
1904,128125
1905,132318
1906,133157
1907,146830
1908,154343
1909,163999
1910,194216
1911,225967
1912,429946
1913,512558
1914,654764
1915,848603
1916,890095
1917,925508
1918,1013522
1919,980137
1920,1064445
1921,1101447
1922,1088286
1923,1096187
1924,1132749
1925,1115952
1926,1110516
1927,1126817
1928,1107542
1929,1075396
1930,1097224
1931,1039243
1932,1043884
1933,991205
1934,1032326
1935,1040987
1936,1037009
1937,1066379
1938,1108880
1939,1106617
1940,1158943
1941,1228011
1942,1380812
1943,1426908
1944,1362607
1945,1345660
1946,1623728
1947,1829293
1948,1754438
1949,1773754
1950,1791474
1951,1881716
1952,1943744
1953,1971136
1954,2037515
1955,2058035
1956,2113761
1957,2155921
1958,2120843
1959,2133539
1960,2132756
1961,2122608
1962,2068953
1963,2031746
1964,1993353
1965,1861377
1966,1783992
1967,1744507
1968,1738999
1969,1789709
1970,1859647
1971,1769292
1972,1622736
1973,1559416
1974,1573195
1975,1562298
1976,1569980
1977,1643802
1978,1642388
1979,1722104
1980,1784088
1981,1791101
1982,1814211
1983,1791964
1984,1803995
1985,1847231
1986,1840347
1987,1865804
1988,1912764
1989,2000082
1990,2052662
1991,2019523
1992,1996492
1993,1960486
1994,1931313
1995,1902971
1996,1893548
1997,1884324
1998,1910424
1999,1918984
2000,1962556
2001,1941401
2002,1939950
2003,1973612
2004,1983010
2005,1995115
2006,2052652
2007,2072505
2008,2036750
2009,1979895
2010,1914629
2011,1894262
2012,1890889
2013,1883945
2014,1910876
2015,1898858
